1位,,紫龍会,xアゲハx,9660040
2位,,ぬ゛,マサマサs,9657850
3位,,Legend_Hearts,ありす☆,0
4位,,高原組,†ユファ†,0
5位,,☆安心できる憩いの場☆,御一人様チリソー,0
6位,,†天空の時計塔†,Love_again,0
7位,,２８組,ちゃらめる,0
8位,,一華咲,あおしゃち,0
9位,,ギニュー特戦隊,アスタロト公爵’,0
10位,,HeiligerRitter,矛盾なサブ1,0
11位,,ひよこ戦隊赤レンジャー,グンドュラ・ラル,0
12位,,くらえー！邪王炎殺こｋ,だてんちゃん,0
13位,,ξ風神ξ,ガブリエル†,0
14位,,【BlueBox】,☆TON80☆,0
15位,,鋼鉄のＳＮＯＯＰＹ,Secret_Online,0
16位,,ラオス共和国,根津甚八β,0
17位,,ふるさと愛,リィィ,0
18位,,OrangeDays,ゆいにゃ,0
19位,,不夜城,ﾉｽﾄﾗﾀﾞﾑｽ,0
20位,,Heavy　Lance,すぃーとぽてち♪,0
21位,,プリンセス,薄紅天女,0
22位,,　お茶会,ちむちむぅ,0
23位,,うさみふぁみりぃ,☆ロッキー２☆,0
24位,,CloseFriends,☆夏子☆,0
25位,,ロンド＝ベル,レヴィア。,0
26位,,闇黒の輪舞曲,ＬＵＡＮＡ,0
27位,,ζ雷神ζ,やりどーん,0
1位,,星の夢,Matlab,434880
2位,,Eginbear,asew2,0
3位,,チームＧＩＬ,けんＺ,0
4位,,Ciel_nosurge,天穿,0
5位,,～☆星達の庭園☆～,姫1号,0
6位,,「3号館の住人達☆」,∮黒船∮,0
7位,,†Dragon_Castle†,やゆうだい,0
8位,,FREIHEIT,ｶﾌﾟﾚｰｾﾞ,0
9位,,小さな幸せ,孅い,0
10位,,Siropuと愉快な探検家,ＭＡＬＴＩ,0
11位,,馬車馬中隊,天日槍,0
12位,,ブルン王国騎士団,moma,0
13位,,Adiots,夜虚,0
14位,,またーり,姫DEｱﾘﾝｽ,0
15位,,Spiral　Heartｓ,ペネトレイト,0
16位,,ワルキューレ,双極龍,0
17位,,ホエ～豚,八代将軍５,0
18位,,ラッキー軍団,むこ殿,0
19位,,ラッキー☆スター,ﾓｼﾞﾓｼﾞ,0
20位,,笑う門には福きたる,アーリエス,0
21位,,MheShiArmy,癒しのガンダルフ,0
22位,,国際救助隊,朱雀石,0
23位,,DOLCE,えんちゃん,0
24位,,レッドサファイア,ジオペリア,0
25位,,Burning_Angel_Wings,あーするﾍﾞﾃｨ,0
26位,,Brotherhood,メメントモリ,0
27位,,おもちゃの缶詰,シエン,0
28位,,∫インテグラル∫,たわあ,0
29位,,ファイヤーソーディング,ｄａnzoｕ,0
30位,,StarDustMemory,デス様,0
